opportunity_id,opportunity_number,opportunity_title,agency_name,open_date,close_date,opp_status,award_ceiling,estimated_total_program_funding,expected_number_of_awards,team_size_category,team_members,proposed_title,rationale,aims_or_projects,opportunity_url
10f4a697-e6a1-454a-bb73-74bc933f364a,RFA-CK-26-035,"Emerging Infections Network - Research for Preventing, Detecting, and Managing Travel-associated Infectious Diseases",Centers for Disease Control and Prevention - ERA,,,forecasted,600000.0,3000000.0,1.0,large,"Adam J. Ratner, MD; Catherine Pei-ju Lu; Hakhamanesh Mostafavi; Jonas Schluter, PhD","Emerging Infections Network - Research for Preventing, Detecting, collaborative plan","This opportunity calls for a shared resource or coordinating effort in emerging infections network - research for preventing, detecting, and managing travel-associated infectious diseases. Adam J. Ratner, MD contributes expertise in bacteriology, translational. Catherine Pei-ju Lu contributes expertise in my lab aims to build a comprehensive framework for understanding stem cell biology of the skin, from development to dise. Hakhamanesh Mostafavi contributes expertise in my lab studies the genetic basis of complex human traits and diseases. Jonas Schluter, PhD contributes expertise in systems microbiology, immunology. Together, the team is positioned to deliver a rigorous plan that advances associated , infections , infectious while meeting Centers for Disease Control and Prevention - ERA expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for emerging infections network - research for preventing, detecting, and managing with input from all team members.
Aim 2: build and quality control a shared resource for emerging infections network - research for preventing, detecting, and managing, including standardized protocols, data structures, and access pathways.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",https://www.grants.gov/search-grants?query=RFA-CK-26-035
e9f03c13-cda6-4177-958e-33f2d783facc,PAR-26-036,Centers of Excellence in Genomic Science (CEGS),National Institutes of Health,,,forecasted,,5000000.0,2.0,large,"Nadav Brandes; Alejandro Pironti, PhD; Molly Gale Hammell; David Fenyo",Centers of Excellence in Genomic Science collaborative plan,"This opportunity calls for a shared resource or coordinating effort in centers of excellence in genomic science. Nadav Brandes contributes expertise in large language models (llms) have revolutionized artificial intelligence (ai). Alejandro Pironti, PhD contributes expertise in microbial genomics, antimicrobial resistance. Molly Gale Hammell contributes expertise in molly gale hammell is an associate professor in the institute for systems genetics at nyu langone health. David Fenyo contributes expertise in in my research i apply mathematical, statistical and computational methods to provide a detailed understanding of the dy. Together, the team is positioned to deliver a rigorous plan that advances excellence , centers , genomic while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for centers of excellence in genomic science with input from all team members.
Aim 2: build and quality control a shared resource for centers of excellence in genomic science, including standardized protocols, data structures, and access pathways.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",https://www.grants.gov/search-grants?query=PAR-26-036
42025fd1-c1a8-48a5-acb1-612361d8d0bd,24-547,Plant Genome Research Program,U.S. National Science Foundation,,,posted,,30000000.0,20.0,large,esteban o mazzoni; Jane Skok; Paolo Mita; Ran Brosh,Plant Genome Research Program collaborative plan,"This opportunity supports hypothesis driven work in plant genome research program. esteban o mazzoni contributes expertise in we are passionate about understanding how cells acquire the functions required by a multicellular organism like the comp. Jane Skok contributes expertise in to uncover how ctcf/ctcfl, cohesin, transcription factors, and nucleosomes generate tunable insulation and state-specifi. Paolo Mita contributes expertise in transposable elements (te) are sequences of dna that are capable of moving within a host genome, and thus are often refe. Ran Brosh contributes expertise in i have two roles: [1] as faculty at isg/pathology i am leading the dark matter project, a collaborative effort to use sy. Together, the team is positioned to deliver a rigorous plan that advances research , program , genome while meeting U.S. National Science Foundation expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for plant genome research program with input from all team members.
Aim 2: test key mechanisms or drivers in plant genome research program using complementary models, assays, and analytical approaches.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24547
cf2715a3-010f-4d16-9153-113579cfb0ac,FOR-HG-26-001,Centers for Genomics Research Capacity Building,National Institutes of Health,,,forecasted,,5000000.0,3.0,large,"Molly Gale Hammell; Alejandro Pironti, PhD; Nadav Brandes",Centers for Genomics Research Capacity Building collaborative plan,"This opportunity calls for a shared resource or coordinating effort in centers for genomics research capacity building. Molly Gale Hammell contributes expertise in molly gale hammell is an associate professor in the institute for systems genetics at nyu langone health. Alejandro Pironti, PhD contributes expertise in microbial genomics, antimicrobial resistance. Nadav Brandes contributes expertise in large language models (llms) have revolutionized artificial intelligence (ai). Together, the team is positioned to deliver a rigorous plan that advances building , capacity , genomics while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for centers for genomics research capacity building with input from all team members.
Aim 2: build and quality control a shared resource for centers for genomics research capacity building, including standardized protocols, data structures, and access pathways.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",https://www.grants.gov/search-grants?query=FOR-HG-26-001
53e7b1bb-02a7-4133-b50b-74bce8c324ff,RFA-CA-25-031,Metastasis Research Network (U54 Clinical Trial Not Allowed),National Institutes of Health,,,forecasted,1700000.0,6800000.0,4.0,large,"Robert J. Schneider, PhD; Gregory David; Catherine Pei-ju Lu; Pau Castel",Metastasis Research Network collaborative plan U54,"This opportunity calls for a shared resource or coordinating effort in metastasis research network. Robert J. Schneider, PhD contributes expertise in rna biology, translation control. Gregory David contributes expertise in the research conducted in our laboratory centers on the interplay between aging and cancer. Catherine Pei-ju Lu contributes expertise in my lab aims to build a comprehensive framework for understanding stem cell biology of the skin, from development to dise. Pau Castel contributes expertise in the castel laboratory is interested in understanding the molecular mechanisms underlying oncoprotein-mediated transforma. Together, the team is positioned to deliver a rigorous plan that advances metastasis , research , network while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for metastasis research network with input from all team members.
Aim 2: build and quality control a shared resource for metastasis research network, including standardized protocols, data structures, and access pathways.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",https://www.grants.gov/search-grants?query=RFA-CA-25-031
a3fe5760-281e-4303-aac7-08dcea8327c2,FOR-CA-25-085,Forecast to Publish a Notice of Funding Opportunity for The Metastasis Research Network (MetNet): MetNet Research Projects (U01 Clinical Trial Not Allowed),National Institutes of Health,,,forecasted,,,10.0,large,"Robert J. Schneider, PhD; Gregory David; Catherine Pei-ju Lu",Forecast to Publish a Notice of Funding Opportunity collaborative plan U01,"This opportunity calls for a shared resource or coordinating effort in forecast to publish a notice of funding opportunity for the metastasis research network :. Robert J. Schneider, PhD contributes expertise in rna biology, translation control. Gregory David contributes expertise in the research conducted in our laboratory centers on the interplay between aging and cancer. Catherine Pei-ju Lu contributes expertise in my lab aims to build a comprehensive framework for understanding stem cell biology of the skin, from development to dise. Together, the team is positioned to deliver a rigorous plan that advances research , opportunity , metastasis while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for forecast to publish a notice of funding opportunity for the with input from all team members.
Aim 2: build and quality control a shared resource for forecast to publish a notice of funding opportunity for the, including standardized protocols, data structures, and access pathways.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",https://www.grants.gov/search-grants?query=FOR-CA-25-085
acab0368-18be-4f5d-8d14-9761df88abdc,FOR-HG-26-003,ancient DNA for Modern Genomics (aDMG) Data Generation and Resource Center,National Institutes of Health,,,forecasted,,2750000.0,1.0,large,Aravinda Chakravarti; Paolo Mita; Molly Gale Hammell; Ran Brosh,ancient DNA for Modern Genomics Data Generation and collaborative plan,"This opportunity calls for a shared resource or coordinating effort in ancient dna for modern genomics data generation and resource center. Aravinda Chakravarti contributes expertise in contributions to science 1. Paolo Mita contributes expertise in transposable elements (te) are sequences of dna that are capable of moving within a host genome, and thus are often refe. Molly Gale Hammell contributes expertise in molly gale hammell is an associate professor in the institute for systems genetics at nyu langone health. Ran Brosh contributes expertise in i have two roles: [1] as faculty at isg/pathology i am leading the dark matter project, a collaborative effort to use sy. Together, the team is positioned to deliver a rigorous plan that advances generation , genomics , resource while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for ancient dna for modern genomics data generation and resource center with input from all team members.
Aim 2: build and quality control a shared resource for ancient dna for modern genomics data generation and resource center, including standardized protocols, data structures, and access pathways.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",https://www.grants.gov/search-grants?query=FOR-HG-26-003
22493742-3682-4c42-8539-5107fa7c561e,PAR-26-037,Toolkits for Dissemination of Genomic Technologies,National Institutes of Health,,,forecasted,50000.0,,15.0,large,David Fenyo; Nadav Brandes; Drew Jones; Aravinda Chakravarti,Toolkits for Dissemination of Genomic Technologies collaborative plan,"This opportunity supports hypothesis driven work in toolkits for dissemination of genomic technologies. David Fenyo contributes expertise in in my research i apply mathematical, statistical and computational methods to provide a detailed understanding of the dy. Nadav Brandes contributes expertise in large language models (llms) have revolutionized artificial intelligence (ai). Drew Jones contributes expertise in the ongoing theme of my work is the invention or adaptation of advanced chromatography and mass spectrometry technology . Aravinda Chakravarti contributes expertise in contributions to science 1. Together, the team is positioned to deliver a rigorous plan that advances dissemination , technologies , toolkits while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for toolkits for dissemination of genomic technologies with input from all team members.
Aim 2: develop and benchmark a scalable tool or platform for toolkits for dissemination of genomic technologies that leverages the complementary strengths of the team.
Aim 3: validate robustness across settings, publish reproducible workflows, and create a dissemination plan for broad community use.",https://www.grants.gov/search-grants?query=PAR-26-037
6552e00b-8e51-4278-ab04-b6e3765a88a0,PAR-25-454,Comprehensive Partnerships to Advance Cancer Health (CPACH) (U54 Clinical Trial Optional),National Institutes of Health,,,forecasted,,,12.0,large,Richard Possemato; Gregory David; Pau Castel,Comprehensive Partnerships to Advance Cancer Health collaborative plan U54,"This opportunity supports hypothesis driven work in comprehensive partnerships to advance cancer health. Richard Possemato contributes expertise in i am an associate professor in the department of pathology at nyu school of medicine and co-leader of the cancer cell bi. Gregory David contributes expertise in the research conducted in our laboratory centers on the interplay between aging and cancer. Pau Castel contributes expertise in the castel laboratory is interested in understanding the molecular mechanisms underlying oncoprotein-mediated transforma. Together, the team is positioned to deliver a rigorous plan that advances comprehensive , partnerships , advance while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for comprehensive partnerships to advance cancer health with input from all team members.
Aim 2: test key mechanisms or drivers in comprehensive partnerships to advance cancer health using complementary models, assays, and analytical approaches.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",https://www.grants.gov/search-grants?query=PAR-25-454
c145785e-a145-4614-80a1-c5586d728b6f,RFA-HG-25-012,"Limited Competition: Outcomes of Electronic Medical Records and Genomics (eMERGE) Genomic Risk Assessment and Management Network - Clinical Sites (U01, Clinical Trial Required)",National Institutes of Health,,,forecasted,,5800000.0,10.0,large,"Nadav Brandes; Liat Shenhav, PhD; Molly Gale Hammell; Aravinda Chakravarti",Limited Competition: Outcomes of Electronic Medical Records and collaborative plan U01,"This opportunity calls for a shared resource or coordinating effort in limited competition: outcomes of electronic medical records and genomics genomic risk assessment and management. Nadav Brandes contributes expertise in large language models (llms) have revolutionized artificial intelligence (ai). Liat Shenhav, PhD contributes expertise in systems microbiology. Molly Gale Hammell contributes expertise in molly gale hammell is an associate professor in the institute for systems genetics at nyu langone health. Aravinda Chakravarti contributes expertise in contributions to science 1. Together, the team is positioned to deliver a rigorous plan that advances competition , assessment , electronic while meeting National Institutes of Health expectations for impact and reproducibility.","Aim 1: define the central questions, datasets, and success metrics for limited competition: outcomes of electronic medical records and genomics genomic with input from all team members.
Aim 2: build and quality control a shared resource for limited competition: outcomes of electronic medical records and genomics genomic, including standardized protocols, data structures, and access pathways.
Aim 3: validate findings in relevant human data or specimens and define a dissemination plan to support adoption in real world settings.",https://www.grants.gov/search-grants?query=RFA-HG-25-012
